Lebensmittel;Kupferwert;Kategorie
Sweet potato, raw;0,151;gemüse
Onion, raw;0,037;gemüse
Onions, spring, raw;0,083;gemüse
Potato, boiled;0,167;gemüse
Yam, raw;0,178;gemüse
Potato, new (May to September), raw;k.A.;gemüse
Parsnip, raw;0,14;gemüse
Potato, automn (October to January), raw;k.A.;gemüse
Cassava, raw;0,1;gemüse
Potato, old (February to June), raw;k.A.;gemüse
Jerusalem artichoke, raw;0,12;gemüse
Parsley root, raw;0,23;gemüse
Black salsify, raw;0,12;gemüse
Beet, red, danish, raw;0,084;gemüse
Celeriac, celery root, danish, raw;0,127;gemüse
Parsnip, Danish, raw;0,097;gemüse
Carrots, imported, without peel, raw;0,03;gemüse
Carrots, Danish, without peel, raw;0,045;gemüse
Parsnips, imported, raw;0,2;gemüse
Celery, root, imported, raw;0,13;gemüse
Olives, black, without stones, in brine;k.A.;früchte
Olives, green, pickled, canned;0,23;früchte
Pear, canned;0,071;früchte
Apricot, canned, light syrup pack;0,079;früchte
Apricot, canned, no sugar added;0,082;früchte
Pineapple, canned;0,091;früchte
Peach, canned;0,043;früchte
Tangerine, canned;0,044;früchte
Strawberries, canned;0,03;früchte
Lingonberry, jam;k.A.;früchte
Blackberry, jam;k.A.;früchte
Strawberry, jam;k.A.;früchte
Cherry, canned in sugar;k.A.;früchte
Currant, black, jam;k.A.;früchte
Olives, black, salted, in oil;0,23;früchte
Rose hip, dried, powder;0,26;früchte
Prune, dried plum;0,38;früchte
Fig, dried;0,24;früchte
Apricot, dried;0,27;früchte
Date, dried;0,26;früchte
Dried fig spread;0,241;früchte
Dried fruits spread, average values;0,235;früchte
Raisin , seedless;0,32;früchte
Apple, dried;0,04;früchte
Peach, dried;0,63;früchte
Strawberries, frozen, sweetened, whole;0,019;früchte
Blackberry, frozen, unsweetened;0,12;früchte
Loganberries, frozen;0,117;früchte
Blueberries, frozen;0,032;früchte
Raspberries, frozen;0,085;früchte
Strawberries, frozen;0,025;früchte
Mango, frozen;0,058;früchte
Pomegranate seeds, frozen;0,195;früchte
Pineapple, frozen;0,087;früchte
Mixed berries. frozen;0,054;früchte
Avocado, frozen;0,165;früchte
Apple juice, canned or bottled;0,006;früchte
Pineapple juice;0,063;früchte
Orange juice;0,03;früchte
Grapefruit juice;0,017;früchte
Prune juice;0,045;früchte
Apple juice;0,012;früchte
Mixed fruit juice;0,02;früchte
Mixed fruit and vegetable juice;0,026;früchte
Fruit smoothie;0,038;früchte
Fruit and vegetable smoothie;0,043;früchte
Mixed fruit cordial base, sugar added, dilution: 1+4;0,025;früchte
Mixed fruit cordial base, sugar added, dilution: 1+5;0,012;früchte
Mixed fruit cordial base, artificial sweetener added, dilution: 1+4;0,029;früchte
Mixed fruit cordial base, sugar and artificial sweetener added, dilution: 1+4;0,011;früchte
Fruit juice, sugar added;0,025;früchte
Fruit juice, artificial sweetener added;0,014;früchte
Apple, raw, all varieties;0,031;früchte
Pear, raw;0,065;früchte
Grape, raw;0,141;früchte
Quinces, raw;0,13;früchte
Crab apple, raw;0,067;früchte
Grape, green, raw;k.A.;früchte
Strawberry, raw;0,038;früchte
Currant, black, raw;0,099;früchte
Rose hip, raw;0,18;früchte
Elderberry, raw;0,062;früchte
Currant, red, raw;0,088;früchte
Gooseberry, raw;0,056;früchte
Cranberry, raw;0,061;früchte
Guava, common, raw;0,23;früchte
Cape gooseberries, raw;k.A.;früchte
Lingonberry, raw;0,072;früchte
Sea Buckthorn;k.A.;früchte
Aronia berries;k.A.;früchte
Blueberries, raw;0,033;früchte
Blackberry, raw;0,045;früchte
Raspberry, raw;0,03;früchte
Nectarine, raw;0,072;früchte
Avocado, raw;0,253;früchte
Apricot, raw;0,11;früchte
Plum, raw;0,051;früchte
Peach, raw;0,081;früchte
Cherry, raw;0,072;früchte
Banana, raw;0,106;früchte
Lemon, raw;0,053;früchte
Watermelon, raw;0,03;früchte
Orange, raw;0,04;früchte
Tamarind, Indian date, raw;k.A.;früchte
Lemon juice, fresh;0,053;früchte
Loquat, raw;0,04;früchte
Muskmelon, raw;0,04;früchte
Lime, raw;0,065;früchte
Melon, cantaloup, raw;0,041;früchte
Papaya, raw;0,016;früchte
Mandarin orange, raw;0,041;früchte
Prickly pear, Indian fig, raw;k.A.;früchte
Figs, raw;0,07;früchte
Carambola, raw;0,137;früchte
Persimmon, kaki fruit, raw;0,113;früchte
Lychee, raw;0,148;früchte
Pomegranate, raw;0,07;früchte
Sapodilla, raw;k.A.;früchte
Lemon peel, raw;k.A.;früchte
Cooking banana, Plantain, raw;0,081;früchte
Cherimoya, raw;k.A.;früchte
Kumquats, raw;0,095;früchte
Passion fruit, raw;k.A.;früchte
Sapotes, raw;k.A.;früchte
"Pomelo (pommelo; shaddock), raw";k.A.;früchte
Galia melon, raw;0,025;früchte
Pineapple, raw;0,074;früchte
Grapefruit, raw;0,034;früchte
Melon, honeydew, raw;0,021;früchte
Kiwi fruit, raw;0,161;früchte
Mango, raw;0,069;früchte
Nut paste with cacao, spreads;k.A.;nuss
Coconut meat, desiccated;0,76;nuss
Marzipan;0,45;nuss
Wiener nougat;k.A.;nuss
Peanut butter;0,7;nuss
Almond, raw;1;nuss
Nut, coco, raw;0,32;nuss
Chestnut, raw;0,23;nuss
Peanut, dried;0,86;nuss
Hazelnut, dried;1,4;nuss
Pistachio nuts, dried;1,3;nuss
Cashew nuts, oil roasted;2,043;nuss
Pecans, dried;1,2;nuss
Walnuts, dried;1,05;nuss
Brazil nuts, dried, raw;1,76;nuss
Pistachio nuts, dry roasted with salt;1,325;nuss
Pine nuts, dried;1,299;nuss
Cashew nuts, dry roasted;2,22;nuss
Nut, pea, oilroasted and salted;0,57;nuss
Pecans, oil roasted;1,2;nuss
Pecans, dry roasted;1,167;nuss
